,nutrients,herbivore,dominant,treatment
T5AC_23,ambient,caged,CCA,AC
T5AC_22,ambient,caged,Turf,AC
T5NO_16a,nutrient,open,CCA,NO
T5NO_16b,nutrient,open,CCA,NO
T5NO_18a,nutrient,open,CCA,NO
T5NO_18b,nutrient,open,CCA,NO
T5NO_21,nutrient,open,CCA,NO
T5NO_10,nutrient,open,CCA,NO
T5NC_16a,nutrient,caged,Turf,NC
T5NC_16b,nutrient,caged,Turf,NC
T5NC_18a,nutrient,caged,Macroalgae,NC
T5NC_18b,nutrient,caged,Macroalgae,NC
T5NC_21,nutrient,caged,CCA,NC
T5NC_10,nutrient,caged,Turf,NC
T6AO_17a,ambient,open,CCA,AO
T6AO_17b,ambient,open,CCA,AO
T6AO_20a,ambient,open,CCA,AO
T6AO_20b,ambient,open,CCA,AO
T6AO_23,ambient,open,CCA,AO
T6AO_22,ambient,open,CCA,AO
T6AC_17a,ambient,caged,CCA,AC
T6AC_17b,ambient,caged,CCA,AC
T6AC_20a,ambient,caged,Macroalgae,AC
T6AC_20b,ambient,caged,Macroalgae,AC
T6AC_23,ambient,caged,Turf,AC
T6AC_22,ambient,caged,CCA,AC
T6NO_16a,nutrient,open,CCA,NO
T6NO_16b,nutrient,open,CCA,NO
T6NO_18a,nutrient,open,CCA,NO
T6NO_18b,nutrient,open,CCA,NO
T6NO_21,nutrient,open,CCA,NO
T6NO_10,nutrient,open,CCA,NO
T6NC_16a,nutrient,caged,Turf,NC
T6NC_16b,nutrient,caged,Turf,NC
T6NC_18a,nutrient,caged,Macroalgae,NC
T6NC_18b,nutrient,caged,Macroalgae,NC
T6NC_21,nutrient,caged,Turf,NC
T6NC_10,nutrient,caged,Turf,NC
