Week,Nutrients,Replicate,Caging,Microhabitat,Carnivore,Corallivore,Detritivore_Grazer,Excavator,Grazer,Omnivore,Scraper,Total,Herbivores
1,Nutrient,E,Open,Sides,0,0,0.036231884,0,0,0,0,0.036231884,0.036231884
1,Nutrient,E,Open,Crowns,0,0,0.086956522,0,0,0,0,0.086956522,0.086956522
1,Nutrient,E,Partial,Crevices,0,0,0.652173913,0,0,0,0,0.652173913,0.652173913
1,Nutrient,E,Partial,Sides,0,0,0.608695652,0,0,0,0,0.608695652,0.608695652
1,Nutrient,E,Partial,Crowns,0,0,0.746376812,0,0,0,0,0.746376812,0.746376812
1,Nutrient,F,Open,Crevices,0,0,0,0,0,0,0,0,0
1,Nutrient,F,Open,Sides,0,0,0,0,0,0,0,0,0
1,Nutrient,F,Open,Crowns,0,0,0,0,0,0,0,0,0
1,Nutrient,F,Partial,Crevices,0,0,0.413043478,0,0,0,0,0.413043478,0.413043478
1,Nutrient,F,Partial,Sides,0,0,0.130434783,0.02173913,0,0,0,0.152173913,0.152173913
1,Nutrient,F,Partial,Crowns,0,0,0.224637681,0,0,0,0,0.224637681,0.224637681
3,Ambient,A,Open,Crevices,0,0,0,0,0,0,0,0,0
3,Ambient,A,Open,Sides,0.115384615,0,0,0,0,0,0,0.115384615,0
3,Ambient,A,Open,Crowns,0,0,0,0.076923077,0,0,0,0.076923077,0.076923077
3,Ambient,A,Partial,Crevices,0,0,0,0,0,0,0,0,0
3,Ambient,A,Partial,Sides,0.038461538,0,0,0,0,0,0,0.038461538,0
3,Ambient,A,Partial,Crowns,0,0,0,0,0,0,0,0,0
3,Ambient,B,Open,Crevices,0.00862069,0,0.077586207,0,0.051724138,0,0.00862069,0.146551725,0.137931035
3,Ambient,B,Open,Sides,0,0,0.413793103,0,0.017241379,0,0.034482759,0.465517241,0.465517241
3,Ambient,B,Open,Crowns,0,0,0.120689655,0,0.017241379,0,0.00862069,0.146551724,0.146551724
3,Ambient,B,Partial,Crevices,0,0,0.112068966,0,0,0,0,0.112068966,0.112068966
3,Ambient,B,Partial,Sides,0,0,0.560344828,0.060344828,0,0,0,0.620689656,0.620689656
3,Ambient,B,Partial,Crowns,0,0,0.370689655,0,0,0,0,0.370689655,0.370689655
3,Ambient,C,Open,Crevices,0,0,0.020408163,0,0,0,0,0.020408163,0.020408163
3,Ambient,C,Open,Sides,0,0,0,0,0,0,0,0,0
3,Ambient,C,Open,Crowns,0,0,0,0,0,0,0,0,0
3,Ambient,C,Partial,Crevices,0,0,0.224489796,0,0,0,0.06122449,0.285714286,0.285714286
3,Ambient,C,Partial,Sides,0,0,0.040816327,0,0,0,0,0.040816327,0.040816327
3,Ambient,C,Partial,Crowns,0,0,0.551020408,0,0,0,0.06122449,0.612244898,0.612244898
3,Nutrient,D,Open,Crevices,0.218045113,0,0.315789474,0,0,0,0,0.533834587,0.315789474
3,Nutrient,D,Open,Sides,0.07518797,0,0.421052632,0,0,0,0,0.496240602,0.421052632
3,Nutrient,D,Open,Crowns,0.022556391,0,0.353383459,0,0,0,0,0.37593985,0.353383459
3,Nutrient,D,Partial,Crevices,0,0,0.007518797,0,0,0,0.030075188,0.037593985,0.037593985
3,Nutrient,D,Partial,Sides,0,0,0.15037594,0,0,0,0,0.15037594,0.15037594
3,Nutrient,D,Partial,Crowns,0,0,0.082706767,0.015037594,0.030075188,0,0.067669173,0.195488722,0.195488722
3,Nutrient,E,Open,Crevices,0,0,0,0,0,0,0,0,0
3,Nutrient,E,Open,Sides,0.024193548,0,0.120967742,0,0,0,0,0.14516129,0.120967742
3,Nutrient,E,Open,Crowns,0.5,0,0.5,0,0,0,0,1,0.5
3,Nutrient,E,Partial,Crevices,0,0,0,0,0,0,0,0,0
3,Nutrient,E,Partial,Sides,0.064516129,0,0.435483871,0,0,0,0,0.5,0.435483871
3,Nutrient,E,Partial,Crowns,0.75,0,0.588709677,0,0,0,0,1.338709677,0.588709677
3,Nutrient,F,Open,Crevices,0,0,0,0,0,0,0,0,0
3,Nutrient,F,Open,Sides,0,0,0.117021277,0,0,0,0.021276596,0.138297873,0.138297873
3,Nutrient,F,Open,Crowns,0,0,0,0,0,0,0,0,0
3,Nutrient,F,Partial,Crevices,0,0,0,0,0,0,0,0,0
3,Nutrient,F,Partial,Sides,0,0,0,0,0,0,0.042553191,0.042553191,0.042553191
3,Nutrient,F,Partial,Crowns,0,0,0,0,0,0,0,0,0
5,Ambient,A,Open,Crevices,0,0,0,0,0,0,0,0,0
5,Ambient,A,Open,Sides,0,0,0.277310924,0,0,0,0,0.277310924,0.277310924
5,Ambient,A,Open,Crowns,0.058823529,0,0.941176471,0.042016807,0,0,0,1.042016807,0.983193278
5,Ambient,A,Partial,Crevices,0,0,0,0,0,0,0,0,0
5,Ambient,A,Partial,Sides,0,0,0.042016807,0,0,0,0,0.042016807,0.042016807
5,Ambient,A,Partial,Crowns,0.008403361,0,0.663865546,0.050420168,0,0,0,0.722689075,0.714285714
5,Ambient,B,Open,Crevices,0,0,0,0,0,0,0,0,0
5,Ambient,B,Open,Sides,0.048,0,0.088,0.384,0.184,0,0,0.704,0.656
5,Ambient,B,Open,Crowns,0.928,0,0.224,0.224,0.072,0,0,1.448,0.52
5,Ambient,B,Partial,Crevices,0,0,0,0,0,0,0,0,0
5,Ambient,B,Partial,Sides,0,0,0.4,0.08,0,0,0,0.48,0.48
5,Ambient,B,Partial,Crowns,1.384,0,0.664,0.264,0.432,0,0,2.744,1.36
5,Ambient,C,Open,Crevices,0,0,0,0,0,0,0,0,0
5,Ambient,C,Open,Sides,0,0,0.115384615,0,0,0,0,0.115384615,0.115384615
5,Ambient,C,Open,Crowns,0,0,0.153846154,0,0,0,0,0.153846154,0.153846154
5,Ambient,C,Partial,Crevices,0,0,0,0,0,0,0,0,0
5,Ambient,C,Partial,Sides,0,0,0,0.038461538,0,0,0,0.038461538,0.038461538
5,Ambient,C,Partial,Crowns,0.153846154,0,0.5,0.307692308,0.807692308,0,0,1.76923077,1.615384616
5,Nutrient,D,Open,Crevices,0.025423729,0,0.042372881,0,0,0,0,0.06779661,0.042372881
5,Nutrient,D,Open,Sides,0.042372881,0,0.330508475,0,0,0,0,0.372881356,0.330508475
5,Nutrient,D,Open,Crowns,0.838983051,0,0.550847458,0,0,0,0,1.389830509,0.550847458
5,Nutrient,D,Partial,Crevices,0,0,0,0,0,0,0,0,0
5,Nutrient,D,Partial,Sides,0,0,0.559322034,0,0,0,0,0.559322034,0.559322034
5,Nutrient,D,Partial,Crowns,0,0,0.991525424,0,0,0,0,0.991525424,0.991525424
5,Nutrient,E,Open,Crevices,0,0,0,0,0,0,0,0,0
5,Nutrient,E,Open,Sides,0,0,0.426229508,0,0,0,0,0.426229508,0.426229508
5,Nutrient,E,Open,Crowns,0.385245902,0,0.942622951,0,0,0,0,1.327868853,0.942622951
5,Nutrient,E,Partial,Crevices,0,0,0,0,0,0,0,0,0
5,Nutrient,E,Partial,Sides,0.016393443,0,0,0,0,0,0,0.016393443,0
5,Nutrient,E,Partial,Crowns,0.459016393,0,0.450819672,0,0,0,0,0.909836065,0.450819672
5,Nutrient,F,Open,Crevices,0,0,0,0,0,0,0,0,0
5,Nutrient,F,Open,Sides,0,0,0.051724138,0,0,0,0,0.051724138,0.051724138
5,Nutrient,F,Open,Crowns,0,0,0.543103448,0,0,0,0,0.543103448,0.543103448
5,Nutrient,F,Partial,Crevices,0,0,0.00862069,0,0,0,0,0.00862069,0.00862069
5,Nutrient,F,Partial,Sides,0,0,0.163793103,0,0,0,0,0.163793103,0.163793103
5,Nutrient,F,Partial,Crowns,0,0,0.775862069,0,0,0,0,0.775862069,0.775862069
7,Ambient,A,Open,Crevices,0.584070796,0,0.336283186,0,0,0,0,0.920353982,0.336283186
7,Ambient,A,Open,Sides,0.115044248,0,0.504424779,0.026548673,0,0,0,0.6460177,0.530973452
7,Ambient,A,Open,Crowns,0.238938053,0,0.610619469,0,0,0,0,0.849557522,0.610619469
7,Ambient,A,Partial,Crevices,0.362831858,0,0.079646018,0,0,0,0,0.442477876,0.079646018
7,Ambient,A,Partial,Sides,0.061946903,0,0.318584071,0,0,0,0,0.380530974,0.318584071
7,Ambient,A,Partial,Crowns,0,0,0.690265487,0,0,0.026548673,0,0.71681416,0.690265487
7,Ambient,B,Open,Crevices,0.075862069,0,0.248275862,0.117241379,0,0,0.013793103,0.455172413,0.379310344
7,Ambient,B,Open,Sides,0.075862069,0,0.324137931,0.255172414,0,0,0.351724138,1.006896552,0.931034483
7,Ambient,B,Open,Crowns,0.027586207,0,0.075862069,0.062068966,0,0,0.103448276,0.268965518,0.241379311
7,Ambient,B,Partial,Crevices,0.475862069,0,0.317241379,0.351724138,0,0,0.124137931,1.268965517,0.793103448
7,Ambient,B,Partial,Sides,0.165517241,0,0.165517241,0.4,0,0,0.110344828,0.84137931,0.675862069
7,Ambient,B,Partial,Crowns,0.324137931,0,0,0.468965517,0,0,0.227586207,1.020689655,0.696551724
7,Ambient,C,Open,Crevices,0,0,0.805309735,0.03539823,0,0.03539823,0.017699115,0.89380531,0.85840708
7,Ambient,C,Open,Sides,0,0,0.548672566,0.17699115,0,0.079646018,0.026548673,0.831858407,0.752212389
7,Ambient,C,Open,Crowns,0.026548673,0,0.495575221,0.265486726,0,0.327433628,0.212389381,1.327433629,0.973451328
7,Ambient,C,Partial,Crevices,0.008849558,0,0.318584071,0.026548673,0,0.079646018,0,0.43362832,0.345132744
7,Ambient,C,Partial,Sides,0,0,0.292035398,0.185840708,0,0.256637168,0,0.734513274,0.477876106
7,Ambient,C,Partial,Crowns,0,0,0.327433628,0.115044248,0,0.327433628,0,0.769911504,0.442477876
7,Nutrient,D,Open,Crevices,0.024,0,0.384,0,0,0,0,0.408,0.384
7,Nutrient,D,Open,Sides,0.112,0,0.832,0.016,0,0,0,0.96,0.848
7,Nutrient,D,Open,Crowns,0,0.016,1.24,0.016,0,0,0,1.272,1.256
7,Nutrient,D,Partial,Crevices,0.048,0,0.496,0.04,0,0,0,0.584,0.536
7,Nutrient,D,Partial,Sides,0.176,0,0.432,0.048,0.032,0,0.04,0.728,0.552
7,Nutrient,D,Partial,Crowns,0.16,0,1.32,0.072,0.024,0,0.248,1.824,1.664
7,Nutrient,E,Open,Crevices,0.030769231,0,0.023076923,0,0,0,0,0.053846154,0.023076923
7,Nutrient,E,Open,Sides,0.076923077,0,0.153846154,0.023076923,0,0,0,0.253846154,0.176923077
7,Nutrient,E,Open,Crowns,0.069230769,0,0.6,0.092307692,0,0.046153846,0,0.807692307,0.692307692
7,Nutrient,E,Partial,Crevices,0.369230769,0,0.069230769,0,0,0,0,0.438461538,0.069230769
7,Nutrient,E,Partial,Sides,1.138461538,0.115384615,0.146153846,0,0,0.023076923,0,1.423076922,0.146153846
7,Nutrient,E,Partial,Crowns,0.207692308,0.015384615,0.138461538,0,0,0.015384615,0,0.376923076,0.138461538
7,Nutrient,F,Open,Crevices,0.383458647,0,0.022556391,0,0,0,0,0.406015038,0.022556391
7,Nutrient,F,Open,Sides,0.338345865,0,0.22556391,0.007518797,0,0,0,0.571428572,0.233082707
7,Nutrient,F,Open,Crowns,0.097744361,0,0.255639098,0.067669173,0,0,0,0.421052632,0.323308271
7,Nutrient,F,Partial,Crevices,0.428571429,0,0.165413534,0,0,0,0,0.593984963,0.165413534
7,Nutrient,F,Partial,Sides,1.052631579,0,0.781954887,0.112781955,0,0,0,1.947368421,0.894736842
7,Nutrient,F,Partial,Crowns,0.556390977,0,0.62406015,0.045112782,0,0,0,1.225563909,0.669172932
9,Ambient,A,Open,Crevices,0.2,0,0.046153846,0,0,0,0,0.246153846,0.046153846
9,Ambient,A,Open,Sides,0.015384615,0,0.015384615,0,0,0,0,0.03076923,0.015384615
9,Ambient,A,Open,Crowns,0.015384615,0,0,0,0,0,0,0.015384615,0
9,Ambient,A,Partial,Crevices,0.315384615,0,0.053846154,0.015384615,0,0,0,0.384615384,0.069230769
9,Ambient,A,Partial,Sides,0.015384615,0,0,0.192307692,0,0.161538462,0,0.369230769,0.192307692
9,Ambient,A,Partial,Crowns,0.023076923,0,0,0.076923077,0,0.038461538,0,0.138461538,0.076923077
9,Ambient,B,Open,Crevices,0,0,0.205882353,0.107843137,0.205882353,0,0.039215686,0.558823529,0.558823529
9,Ambient,B,Open,Sides,0,0,0.156862745,0.558823529,0.225490196,0,0,0.94117647,0.94117647
9,Ambient,B,Open,Crowns,0,0,0.068627451,0.362745098,0.009803922,0,0.058823529,0.5,0.5
9,Ambient,B,Partial,Crevices,0,0,0,0,0.058823529,0,0.058823529,0.117647058,0.117647058
9,Ambient,B,Partial,Sides,0,0,0.019607843,0.029411765,0,0,0.039215686,0.088235294,0.088235294
9,Ambient,B,Partial,Crowns,0,0,0.117647059,0.480392157,0,0,0.166666667,0.764705883,0.764705883
9,Ambient,C,Open,Crevices,0.052631579,0,0.353383459,0,0,0,0,0.406015038,0.353383459
9,Ambient,C,Open,Sides,0.015037594,0,0.518796992,0.060150376,0,0.015037594,0,0.609022556,0.578947368
9,Ambient,C,Open,Crowns,0,0,0.135338346,0,0,0,0,0.135338346,0.135338346
9,Ambient,C,Partial,Crevices,0.07518797,0,0.105263158,0,0,0,0,0.180451128,0.105263158
9,Ambient,C,Partial,Sides,0,0,0.233082707,0,0,0,0,0.233082707,0.233082707
9,Ambient,C,Partial,Crowns,0.022556391,0,0.240601504,0,0,0,0,0.263157895,0.240601504
9,Nutrient,D ,Open,Crevices,0,0,0.136842105,0,0.042105263,0,0,0.178947368,0.178947368
9,Nutrient,D ,Open,Sides,0.052631579,0.073684211,0.789473684,0.115789474,0,0.010526316,0,1.042105264,0.905263158
9,Nutrient,D ,Open,Crowns,0,0,0.463157895,0,0,0,0,0.463157895,0.463157895
9,Nutrient,D ,Partial,Crevices,0.021052632,0,0.094736842,0,0,0,0,0.115789474,0.094736842
9,Nutrient,D ,Partial,Sides,0.063157895,0.021052632,0.263157895,0.084210526,0,0.042105263,0,0.473684211,0.347368421
9,Nutrient,D ,Partial,Crowns,0.431578947,0,0.284210526,0.210526316,0,0,0,0.926315789,0.494736842
9,Nutrient,E,Open,Crevices,0,0,0.632653061,0.030612245,0.142857143,0,0,0.806122449,0.806122449
9,Nutrient,E,Open,Sides,0,0,1.102040816,0.204081633,0.306122449,0,0,1.612244898,1.612244898
9,Nutrient,E,Open,Crowns,0.051020408,0,0.214285714,0.091836735,0,0,0,0.357142857,0.306122449
9,Nutrient,E,Partial,Crevices,0.030612245,0,0.683673469,0,0,0,0,0.714285714,0.683673469
9,Nutrient,E,Partial,Sides,0,0,0.602040816,0,0,0,0,0.602040816,0.602040816
9,Nutrient,E,Partial,Crowns,0.112244898,0,0.387755102,0,0,0,0,0.5,0.387755102
9,Nutrient,F ,Open,Crevices,0.006944444,0,0.055555556,0,0,0,0,0.0625,0.055555556
9,Nutrient,F ,Open,Sides,0.034722222,0,0.895833333,0.069444444,0,0,0,0.999999999,0.965277777
9,Nutrient,F ,Open,Crowns,0.041666667,0,0.444444444,0.006944444,0,0,0,0.493055555,0.451388888
9,Nutrient,F ,Partial,Crevices,0.013888889,0,0.027777778,0,0,0,0,0.041666667,0.027777778
9,Nutrient,F ,Partial,Sides,0.0625,0,0.479166667,0.090277778,0,0,0,0.631944445,0.569444445
9,Nutrient,F ,Partial,Crowns,0.076388889,0,0.451388889,0.020833333,0,0,0,0.548611111,0.472222222
