Tile,Caging,Plot,Nutrients,Microhabitat,Time,Status,Count
55,Caged,15,Nutrient,Crevice,8,Dead,0
56,Partial,15,Nutrient,Crevice,8,Dead,0
57,Open,15,Nutrient,Crevice,8,Dead,2
58,Caged,16,Nutrient,Crevice,8,Dead,4
59,Partial,16,Nutrient,Crevice,8,Dead,0
60,Open,16,Nutrient,Crevice,8,Dead,0
61,Caged,17,Normal,Crevice,8,Dead,0
62,Partial,17,Normal,Crevice,8,Dead,0
63,Open,17,Normal,Crevice,8,Dead,1
64,Caged,18,Nutrient,Crevice,8,Dead,3
65,Partial,18,Nutrient,Crevice,8,Dead,1
66,Open,18,Nutrient,Crevice,8,Dead,3
67,Caged,19,Normal,Crevice,8,Dead,1
68,Partial,19,Normal,Crevice,8,Dead,0
69,Open,19,Normal,Crevice,8,Dead,1
70,Caged,20,Normal,Crevice,8,Dead,1
71,Partial,20,Normal,Crevice,8,Dead,1
72,Open,20,Normal,Crevice,8,Dead,0
73,Caged,21,Nutrient,Crevice,8,Dead,5
74,Partial,21,Nutrient,Crevice,8,Dead,0
75,Open,21,Nutrient,Crevice,8,Dead,0
76,Caged,22,Normal,Crevice,8,Dead,3
77,Partial,22,Normal,Crevice,8,Dead,0
78,Open,22,Normal,Crevice,8,Dead,1
79,Caged,23,Normal,Crevice,8,Dead,9
80,Partial,23,Normal,Crevice,8,Dead,0
81,Open,23,Normal,Crevice,8,Dead,0
82,Caged,24,Nutrient,Crevice,8,Dead,1
83,Partial,24,Nutrient,Crevice,8,Dead,0
84,Open,24,Nutrient,Crevice,8,Dead,2
49,Caged,10,Nutrient,Crown,10,Dead,1
50,Partial,10,Nutrient,Crown,10,Dead,0
51,Open,10,Nutrient,Crown,10,Dead,4
52,Caged,14,Normal,Crown,10,Dead,11
53,Partial,14,Normal,Crown,10,Dead,5
54,Open,14,Normal,Crown,10,Dead,7
55,Caged,15,Nutrient,Crown,10,Dead,11
56,Partial,15,Nutrient,Crown,10,Dead,0
57,Open,15,Nutrient,Crown,10,Dead,1
58,Caged,16,Nutrient,Crown,10,Dead,10
59,Partial,16,Nutrient,Crown,10,Dead,3
60,Open,16,Nutrient,Crown,10,Dead,0
61,Caged,17,Normal,Crown,10,Dead,2
62,Partial,17,Normal,Crown,10,Dead,3
63,Open,17,Normal,Crown,10,Dead,2
64,Caged,18,Nutrient,Crown,10,Dead,9
65,Partial,18,Nutrient,Crown,10,Dead,4
66,Open,18,Nutrient,Crown,10,Dead,0
67,Caged,19,Normal,Crown,10,Dead,2
68,Partial,19,Normal,Crown,10,Dead,0
69,Open,19,Normal,Crown,10,Dead,1
70,Caged,20,Normal,Crown,10,Dead,9
71,Partial,20,Normal,Crown,10,Dead,4
72,Open,20,Normal,Crown,10,Dead,0
73,Caged,21,Nutrient,Crown,10,Dead,6
74,Partial,21,Nutrient,Crown,10,Dead,0
75,Open,21,Nutrient,Crown,10,Dead,1
76,Caged,22,Normal,Crown,10,Dead,9
77,Partial,22,Normal,Crown,10,Dead,0
78,Open,22,Normal,Crown,10,Dead,3
79,Caged,23,Normal,Crown,10,Dead,11
80,Partial,23,Normal,Crown,10,Dead,1
81,Open,23,Normal,Crown,10,Dead,0
82,Caged,24,Nutrient,Crown,10,Dead,8
83,Partial,24,Nutrient,Crown,10,Dead,1
84,Open,24,Nutrient,Crown,10,Dead,10
49,Caged,10,Nutrient,Crevice,10,Dead,1
50,Partial,10,Nutrient,Crevice,10,Dead,0
51,Open,10,Nutrient,Crevice,10,Dead,6
52,Caged,14,Normal,Crevice,10,Dead,2
53,Partial,14,Normal,Crevice,10,Dead,0
54,Open,14,Normal,Crevice,10,Dead,0
55,Caged,15,Nutrient,Crevice,10,Dead,9
56,Partial,15,Nutrient,Crevice,10,Dead,0
57,Open,15,Nutrient,Crevice,10,Dead,2
58,Caged,16,Nutrient,Crevice,10,Dead,0
59,Partial,16,Nutrient,Crevice,10,Dead,0
60,Open,16,Nutrient,Crevice,10,Dead,0
61,Caged,17,Normal,Crevice,10,Dead,0
62,Partial,17,Normal,Crevice,10,Dead,0
63,Open,17,Normal,Crevice,10,Dead,4
64,Caged,18,Nutrient,Crevice,10,Dead,1
65,Partial,18,Nutrient,Crevice,10,Dead,0
66,Open,18,Nutrient,Crevice,10,Dead,0
67,Caged,19,Normal,Crevice,10,Dead,0
68,Partial,19,Normal,Crevice,10,Dead,0
69,Open,19,Normal,Crevice,10,Dead,0
70,Caged,20,Normal,Crevice,10,Dead,1
71,Partial,20,Normal,Crevice,10,Dead,0
72,Open,20,Normal,Crevice,10,Dead,0
73,Caged,21,Nutrient,Crevice,10,Dead,2
74,Partial,21,Nutrient,Crevice,10,Dead,0
75,Open,21,Nutrient,Crevice,10,Dead,0
76,Caged,22,Normal,Crevice,10,Dead,2
77,Partial,22,Normal,Crevice,10,Dead,2
78,Open,22,Normal,Crevice,10,Dead,0
79,Caged,23,Normal,Crevice,10,Dead,2
80,Partial,23,Normal,Crevice,10,Dead,0
81,Open,23,Normal,Crevice,10,Dead,0
82,Caged,24,Nutrient,Crevice,10,Dead,1
83,Partial,24,Nutrient,Crevice,10,Dead,0
84,Open,24,Nutrient,Crevice,10,Dead,1
49,Caged,10,Nutrient,Crown,10,Alive,44
50,Partial,10,Nutrient,Crown,10,Alive,12
51,Open,10,Nutrient,Crown,10,Alive,4
52,Caged,14,Normal,Crown,10,Alive,128
53,Partial,14,Normal,Crown,10,Alive,6
54,Open,14,Normal,Crown,10,Alive,14
55,Caged,15,Nutrient,Crown,10,Alive,106
56,Partial,15,Nutrient,Crown,10,Alive,0
57,Open,15,Nutrient,Crown,10,Alive,7
58,Caged,16,Nutrient,Crown,10,Alive,44
59,Partial,16,Nutrient,Crown,10,Alive,1
60,Open,16,Nutrient,Crown,10,Alive,0
61,Caged,17,Normal,Crown,10,Alive,42
62,Partial,17,Normal,Crown,10,Alive,0
63,Open,17,Normal,Crown,10,Alive,0
64,Caged,18,Nutrient,Crown,10,Alive,90
65,Partial,18,Nutrient,Crown,10,Alive,8
66,Open,18,Nutrient,Crown,10,Alive,0
67,Caged,19,Normal,Crown,10,Alive,138
68,Partial,19,Normal,Crown,10,Alive,0
69,Open,19,Normal,Crown,10,Alive,11
70,Caged,20,Normal,Crown,10,Alive,115
71,Partial,20,Normal,Crown,10,Alive,9
72,Open,20,Normal,Crown,10,Alive,0
73,Caged,21,Nutrient,Crown,10,Alive,199
74,Partial,21,Nutrient,Crown,10,Alive,1
75,Open,21,Nutrient,Crown,10,Alive,0
76,Caged,22,Normal,Crown,10,Alive,161
77,Partial,22,Normal,Crown,10,Alive,11
78,Open,22,Normal,Crown,10,Alive,1
79,Caged,23,Normal,Crown,10,Alive,220
80,Partial,23,Normal,Crown,10,Alive,2
81,Open,23,Normal,Crown,10,Alive,0
82,Caged,24,Nutrient,Crown,10,Alive,5
83,Partial,24,Nutrient,Crown,10,Alive,13
84,Open,24,Nutrient,Crown,10,Alive,69
49,Caged,10,Nutrient,Crevice,10,Alive,10
50,Partial,10,Nutrient,Crevice,10,Alive,38
51,Open,10,Nutrient,Crevice,10,Alive,0
52,Caged,14,Normal,Crevice,10,Alive,48
53,Partial,14,Normal,Crevice,10,Alive,2
54,Open,14,Normal,Crevice,10,Alive,10
55,Caged,15,Nutrient,Crevice,10,Alive,5
56,Partial,15,Nutrient,Crevice,10,Alive,0
57,Open,15,Nutrient,Crevice,10,Alive,16
58,Caged,16,Nutrient,Crevice,10,Alive,21
59,Partial,16,Nutrient,Crevice,10,Alive,0
60,Open,16,Nutrient,Crevice,10,Alive,3
61,Caged,17,Normal,Crevice,10,Alive,8
62,Partial,17,Normal,Crevice,10,Alive,0
63,Open,17,Normal,Crevice,10,Alive,0
64,Caged,18,Nutrient,Crevice,10,Alive,23
65,Partial,18,Nutrient,Crevice,10,Alive,3
66,Open,18,Nutrient,Crevice,10,Alive,5
67,Caged,19,Normal,Crevice,10,Alive,4
68,Partial,19,Normal,Crevice,10,Alive,0
69,Open,19,Normal,Crevice,10,Alive,0
70,Caged,20,Normal,Crevice,10,Alive,28
71,Partial,20,Normal,Crevice,10,Alive,1
72,Open,20,Normal,Crevice,10,Alive,0
73,Caged,21,Nutrient,Crevice,10,Alive,68
74,Partial,21,Nutrient,Crevice,10,Alive,0
75,Open,21,Nutrient,Crevice,10,Alive,0
76,Caged,22,Normal,Crevice,10,Alive,66
77,Partial,22,Normal,Crevice,10,Alive,0
78,Open,22,Normal,Crevice,10,Alive,0
79,Caged,23,Normal,Crevice,10,Alive,84
80,Partial,23,Normal,Crevice,10,Alive,0
81,Open,23,Normal,Crevice,10,Alive,0
82,Caged,24,Nutrient,Crevice,10,Alive,8
83,Partial,24,Nutrient,Crevice,10,Alive,0
84,Open,24,Nutrient,Crevice,10,Alive,15
